CODIGO,UBICACIÓN,PRODUCTO,DESCRIPCIÓN,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO
S0262,,TOMACORRIENTE,"TOMACORRIENTE MULTIPLE HORIZONTAL, PARA RACK 19"", 10 CONTACTOS. NEGRO",LINKEDPRO,HTCM1U10C,0,,,
S0263,,CABLE,"CABLE CAT 6 UTP RJ45 TO RJ45 PATCH CORD CAT 6/CLASS E, AZUL",PANDUIT,NK6PC7BUY,6,,,
S0264,AREA B,CABLE,"CABLE UTP RJ45 - CAT 5E, NEGRO DE 90 CM.",---,E315882,6,,,
S0265,AREA A,ORGANIZADOR,"ORGANIZADOR ORIZONTAL DE CABLES PARA RACK DE 19"" DE 2 UNIDADES, NEGRO SEMI-MATE",LINKEDPRO,LPCM042U,1,,,
S0266,,SWITCH,"CLOUD ROUTER SWITCH SERIE 5, BLANCO 8 PUERTOS",MIKROTIK,CRS1128G45IN,0,,,
S0267,AREA A,CONECTOR,"CONECTOR PREPULIDO SC/APC DE 3MM, VERDE",GT NETWORKS,GT-202112,1000,,,
S0268,AREA E,CORTADORA,"CORTADORA DE FIBRA OPTICA, DORADA",VAWA,FC-30,1,,,
S0269,AREA E,CORTADORA,"CORTADORA DE FIBRA OPTICA, NEGRA",FIBER CLEAVER,,1,,,
S0270,AREA E,DESFORRADORA,"DESFORRADORA USO MECANICO, METAL, PLASTICO 14.7X3.5X4",MILLER / RIPLEY,MK02,0,,,
S0271,,CONECTOR,"CONECTOR PREPILIDO SC/APC 250UM, VERDE",ROAN OPTICAL,L5504,85,,,
S0272,AREA H,DIVISOR OPTICO,"SPLITTER, DIVISOR OPTICO 1X4 SIN CONECTORES, COLORES",FIBERHOME,PLC104S,19,7,,
S0273,AREA H,KIT EXTENSOR KVM,KIT EXTENSOR HDMI 1080 KVM SOBRE cat5 /5e/6 A 120M,EPCOM TITANIUM,TT373KVM-4.0,0,,,
S0274,AREA E,CALIBRADOR,"CALIBRADOR MILIMETRICO ESTANDAR, ACERO INOXIDABLE, ESTUCHE Y PILA",TRUPER,CALDI-6MP,1,,,
S0275,,MARTILLO,MARTILLO MANGO DE MADERA Y CABEZA DE ACERO INOXIDABLE,TRUPER,MA-16 752,1,,,
S0276,,DESARMADOR,"DESARMADOR MANGO DE ACETATO. ALTA RESISTENCIA A IMPACTOS Y SOLVENTES 6"" / 1 1/4"", PLANO",TRUPER,DR-1/4X6,2,,,
S0277,,DESARMADOR,"DESARMADOR MANGO DE ACETATO. ALTA RESISTENCIA A IMPACTOS Y SOLVENTES 6"" / 2, PHILLIPS",TRUPER,DP-1/4X6,1,,,
S0278,,BROCA,BROCA CON PUNTA DE CARBURO PARA TALADRO MARTILLO DE 3/8 10 MM,MAKITA,D-24418,1,,,
S0279,,TALADRO,"DREMEL 3000, GRIS Y NEGRO",DREMEL,DREMEL-3000,1,,,
S0280,,CABLE,"CABLE DE AUDIO Y VIDEO, 5VCC, NEGRO DISPLAY PORT TO VGA",N/A,S629994348,6,,,
S0281,,POLLO,POLLO SIN LAPIZ 77 M THE TRACER,TEMPO,,1,,,
S0282,AREA A,COJIN,"COJIN PARA SELLOS, GRIS Y SELLO",,,1,"SOLO QUEDA EL SELLO, EL COJIN SE LO LLEVA EL ING. CESAR",,
S0283,AREA E,DISCO DURO,DISCO DURO SOLIDO SSD SA/ADAPTADOR P2240 GB SUB30,ADATA,DJHD63483,1,,,
S0284,AREA A,CARGADOR,"CARGADOR PARA PILAS, GRIS",MASTER,CL-40,2,,,
